date,region,price_type,price_per_sqm
2025-03-01,portugal,sale,2775
2025-02-01,portugal,sale,2742
2025-01-01,portugal,sale,2693
2024-12-01,portugal,sale,2827
2024-11-01,portugal,sale,2783
2024-10-01,portugal,sale,2733
2024-09-01,portugal,sale,2735
2024-08-01,portugal,sale,2722
2024-07-01,portugal,sale,2696
2024-06-01,portugal,sale,2683
2024-05-01,portugal,sale,2654
2024-04-01,portugal,sale,2622
2024-03-01,portugal,sale,2610
2024-02-01,portugal,sale,2596
2024-01-01,portugal,sale,2582
2023-12-01,portugal,sale,2561
2023-11-01,portugal,sale,2530
2023-10-01,portugal,sale,2500
2023-09-01,portugal,sale,2491
2023-08-01,portugal,sale,2494
2023-07-01,portugal,sale,2503
2023-06-01,portugal,sale,2507
2023-05-01,portugal,sale,2483
2023-04-01,portugal,sale,2480
2023-03-01,portugal,sale,2454
2023-02-01,portugal,sale,2446
2023-01-01,portugal,sale,2436
2022-12-01,portugal,sale,2432
2022-11-01,portugal,sale,2418
2022-10-01,portugal,sale,2386
2022-09-01,portugal,sale,2363
2022-08-01,portugal,sale,2367
2022-07-01,portugal,sale,2352
2022-06-01,portugal,sale,2349
2022-05-01,portugal,sale,2333
2022-04-01,portugal,sale,2319
2022-03-01,portugal,sale,2315
2022-02-01,portugal,sale,2295
2022-01-01,portugal,sale,2279
2021-12-01,portugal,sale,2292
2021-11-01,portugal,sale,2285
2021-10-01,portugal,sale,2256
2021-09-01,portugal,sale,2230
2021-08-01,portugal,sale,2224
2021-07-01,portugal,sale,2205
2021-06-01,portugal,sale,2180
2021-05-01,portugal,sale,2159
2021-04-01,portugal,sale,2153
2021-03-01,portugal,sale,2136
2021-02-01,portugal,sale,2123
2021-01-01,portugal,sale,2131
2020-12-01,portugal,sale,2099
2020-11-01,portugal,sale,2085
2020-10-01,portugal,sale,2057
2020-09-01,portugal,sale,2049
2020-08-01,portugal,sale,2038
2020-07-01,portugal,sale,2021
2020-06-01,portugal,sale,2034
2020-05-01,portugal,sale,2036
2020-04-01,portugal,sale,2031
2020-03-01,portugal,sale,2020
2020-02-01,portugal,sale,2010
2020-01-01,portugal,sale,1992
2019-12-01,portugal,sale,1990
2019-11-01,portugal,sale,1977
2019-10-01,portugal,sale,1957
2019-09-01,portugal,sale,1938
2019-08-01,portugal,sale,1932
2019-07-01,portugal,sale,1927
2019-06-01,portugal,sale,1900
2019-05-01,portugal,sale,1880
2019-04-01,portugal,sale,1856
2019-03-01,portugal,sale,1837
2019-02-01,portugal,sale,1804
2019-01-01,portugal,sale,1803
2018-12-01,portugal,sale,1786
2018-11-01,portugal,sale,1760
2018-10-01,portugal,sale,1738
2018-09-01,portugal,sale,1698
2018-08-01,portugal,sale,1669
2018-07-01,portugal,sale,1955
2018-06-01,portugal,sale,1637
2018-05-01,portugal,sale,1586
2018-04-01,portugal,sale,1565
2018-03-01,portugal,sale,1554
2018-02-01,portugal,sale,1540
2018-01-01,portugal,sale,1528
2017-12-01,portugal,sale,1515
2017-11-01,portugal,sale,1497
