date,region,price_type,price_per_sqm,n_regions
2015-01-01,aveiro,rental,3.5,1
2015-01-01,aveiro,sale,766,1
2015-01-01,azores,sale,952.5,2
2015-01-01,beja,sale,735,1
2015-01-01,braga,sale,811,1
2015-01-01,braganca,sale,675,1
2015-01-01,castelo-branco,sale,741,1
2015-01-01,coimbra,sale,788,1
2015-01-01,evora,sale,814,1
2015-01-01,faro,rental,4.7,1
2015-01-01,faro,sale,1441,1
2015-01-01,guarda,sale,737,1
2015-01-01,leiria,rental,3.6,1
2015-01-01,leiria,sale,737,1
2015-01-01,lisboa,rental,5.3,1
2015-01-01,lisboa,sale,1289,1
2015-01-01,madeira,sale,1130,1
2015-01-01,portalegre,sale,688,1
2015-01-01,porto,rental,4.8,1
2015-01-01,porto,sale,929,1
2015-01-01,portugal,rental,4.3,1
2015-01-01,portugal,sale,969,1
2015-01-01,santarem,rental,3.5,1
2015-01-01,santarem,sale,736,1
2015-01-01,setubal,rental,4.5,1
2015-01-01,setubal,sale,1056,1
2015-01-01,viana-do-castelo,sale,855,1
2015-01-01,vila-real,sale,792,1
2015-01-01,viseu,sale,718,1
2015-02-01,aveiro,rental,3.8,1
2015-02-01,aveiro,sale,786,1
2015-02-01,azores,sale,932,2
2015-02-01,beja,sale,832,1
2015-02-01,braga,rental,3.8,1
2015-02-01,braga,sale,775,1
2015-02-01,braganca,sale,687,1
2015-02-01,castelo-branco,rental,3.5,1
2015-02-01,castelo-branco,sale,751,1
2015-02-01,coimbra,rental,4.4,1
2015-02-01,coimbra,sale,1020,1
2015-02-01,evora,sale,859,1
2015-02-01,faro,rental,4.9,1
2015-02-01,faro,sale,1333,1
2015-02-01,guarda,sale,798,1
2015-02-01,leiria,rental,3.7,1
2015-02-01,leiria,sale,798,1
2015-02-01,lisboa,rental,6.3,1
2015-02-01,lisboa,sale,1366,1
2015-02-01,madeira,rental,5.2,1
2015-02-01,madeira,sale,1180,1
2015-02-01,portalegre,sale,700,1
2015-02-01,porto,rental,4.8,1
2015-02-01,porto,sale,997,1
2015-02-01,portugal,rental,5,1
2015-02-01,portugal,sale,1068,1
2015-02-01,santarem,rental,3.5,1
2015-02-01,santarem,sale,695,1
2015-02-01,setubal,rental,4.5,1
2015-02-01,setubal,sale,974,1
2015-02-01,viana-do-castelo,rental,3.9,1
2015-02-01,viana-do-castelo,sale,893,1
2015-02-01,vila-real,rental,3.3,1
2015-02-01,vila-real,sale,837,1
2015-02-01,viseu,rental,3.1,1
2015-02-01,viseu,sale,728,1
2015-03-01,aveiro,rental,3.8,1
2015-03-01,aveiro,sale,796,1
2015-03-01,azores,sale,918.5,2
2015-03-01,beja,rental,3.9,1
2015-03-01,beja,sale,810,1
2015-03-01,braga,rental,3.8,1
2015-03-01,braga,sale,757,1
2015-03-01,braganca,sale,701,1
2015-03-01,castelo-branco,rental,3.5,1
2015-03-01,castelo-branco,sale,723,1
2015-03-01,coimbra,rental,4.6,1
2015-03-01,coimbra,sale,1016,1
2015-03-01,evora,sale,859,1
2015-03-01,faro,rental,4.8,1
2015-03-01,faro,sale,1418,1
2015-03-01,guarda,sale,814,1
2015-03-01,leiria,rental,3.6,1
2015-03-01,leiria,sale,814,1
2015-03-01,lisboa,rental,6.3,1
2015-03-01,lisboa,sale,1354,1
2015-03-01,madeira,rental,5.1,1
2015-03-01,madeira,sale,1180,1
2015-03-01,portalegre,sale,691,1
2015-03-01,porto,rental,4.8,1
2015-03-01,porto,sale,995,1
2015-03-01,portugal,rental,5,1
2015-03-01,portugal,sale,1078,1
2015-03-01,santarem,rental,3.4,1
2015-03-01,santarem,sale,674,1
2015-03-01,setubal,rental,4.5,1
2015-03-01,setubal,sale,994,1
2015-03-01,viana-do-castelo,rental,3.9,1
2015-03-01,viana-do-castelo,sale,945,1
2015-03-01,vila-real,rental,3.3,1
2015-03-01,vila-real,sale,822,1
2015-03-01,viseu,rental,3.1,1
2015-03-01,viseu,sale,737,1
2015-04-01,aveiro,rental,3.7,1
2015-04-01,aveiro,sale,788,1
2015-04-01,azores,sale,929,2
2015-04-01,beja,sale,816,1
2015-04-01,braga,rental,3.6,1
2015-04-01,braga,sale,760,1
2015-04-01,braganca,sale,689,1
2015-04-01,castelo-branco,rental,3.5,1
2015-04-01,castelo-branco,sale,734,1
2015-04-01,coimbra,rental,4.4,1
2015-04-01,coimbra,sale,989,1
2015-04-01,evora,sale,818,1
2015-04-01,faro,rental,5,1
2015-04-01,faro,sale,1419,1
2015-04-01,guarda,sale,848,1
2015-04-01,leiria,rental,3.7,1
2015-04-01,leiria,sale,848,1
2015-04-01,lisboa,rental,6.4,1
2015-04-01,lisboa,sale,1350,1
2015-04-01,madeira,rental,5.1,1
2015-04-01,madeira,sale,1161,1
2015-04-01,portalegre,sale,671,1
2015-04-01,porto,rental,5.1,1
2015-04-01,porto,sale,1012,1
2015-04-01,portugal,rental,5.1,1
2015-04-01,portugal,sale,1078,1
2015-04-01,santarem,rental,3.5,1
2015-04-01,santarem,sale,678,1
2015-04-01,setubal,rental,4.6,1
2015-04-01,setubal,sale,989,1
2015-04-01,viana-do-castelo,rental,3.9,1
2015-04-01,viana-do-castelo,sale,942,1
2015-04-01,vila-real,rental,3.3,1
2015-04-01,vila-real,sale,813,1
2015-04-01,viseu,rental,3.4,1
2015-04-01,viseu,sale,728,1
2015-05-01,aveiro,rental,3.8,1
2015-05-01,aveiro,sale,784,1
2015-05-01,azores,sale,954,2
2015-05-01,beja,sale,835,1
2015-05-01,braga,rental,3.4,1
2015-05-01,braga,sale,750,1
2015-05-01,braganca,sale,694,1
2015-05-01,castelo-branco,rental,3.6,1
2015-05-01,castelo-branco,sale,737,1
2015-05-01,coimbra,rental,4.5,1
2015-05-01,coimbra,sale,996,1
2015-05-01,evora,sale,821,1
2015-05-01,faro,rental,5,1
2015-05-01,faro,sale,1436,1
2015-05-01,guarda,rental,2.9,1
2015-05-01,guarda,sale,860,1
2015-05-01,leiria,rental,3.8,1
2015-05-01,leiria,sale,860,1
2015-05-01,lisboa,rental,6.7,1
2015-05-01,lisboa,sale,1412,1
2015-05-01,madeira,rental,4.9,1
2015-05-01,madeira,sale,1176,1
2015-05-01,portalegre,sale,693,1
2015-05-01,porto,rental,5.1,1
2015-05-01,porto,sale,1000,1
2015-05-01,portugal,rental,5.2,1
2015-05-01,portugal,sale,1103,1
2015-05-01,santarem,rental,3.4,1
2015-05-01,santarem,sale,707,1
2015-05-01,setubal,rental,4.5,1
2015-05-01,setubal,sale,990,1
2015-05-01,viana-do-castelo,rental,3.9,1
2015-05-01,viana-do-castelo,sale,943,1
2015-05-01,vila-real,rental,3.5,1
2015-05-01,vila-real,sale,793,1
2015-05-01,viseu,rental,3.6,1
2015-05-01,viseu,sale,714,1
2015-06-01,aveiro,rental,3.8,1
2015-06-01,aveiro,sale,795,1
2015-06-01,azores,sale,972,2
2015-06-01,beja,sale,822,1
2015-06-01,braga,rental,3.5,1
2015-06-01,braga,sale,750,1
2015-06-01,braganca,sale,699,1
2015-06-01,castelo-branco,rental,3.7,1
2015-06-01,castelo-branco,sale,729,1
2015-06-01,coimbra,rental,4.4,1
2015-06-01,coimbra,sale,966,1
2015-06-01,evora,sale,828,1
2015-06-01,faro,rental,5.4,1
2015-06-01,faro,sale,1409,1
2015-06-01,guarda,rental,2.8,1
2015-06-01,guarda,sale,853,1
2015-06-01,leiria,rental,3.7,1
2015-06-01,leiria,sale,853,1
2015-06-01,lisboa,rental,6.7,1
2015-06-01,lisboa,sale,1407,1
2015-06-01,madeira,rental,5,1
2015-06-01,madeira,sale,1176,1
2015-06-01,portalegre,sale,681,1
2015-06-01,porto,rental,5.1,1
2015-06-01,porto,sale,987,1
2015-06-01,portugal,rental,5.3,1
2015-06-01,portugal,sale,1099,1
2015-06-01,santarem,rental,3.3,1
2015-06-01,santarem,sale,736,1
2015-06-01,setubal,rental,4.6,1
2015-06-01,setubal,sale,980,1
2015-06-01,viana-do-castelo,rental,4,1
2015-06-01,viana-do-castelo,sale,939,1
2015-06-01,vila-real,rental,3.4,1
2015-06-01,vila-real,sale,785,1
2015-06-01,viseu,rental,3.5,1
2015-06-01,viseu,sale,738,1
2015-07-01,aveiro,rental,3.9,1
2015-07-01,aveiro,sale,806,1
2015-07-01,azores,sale,928.5,2
2015-07-01,beja,sale,820,1
2015-07-01,braga,rental,3.6,1
2015-07-01,braga,sale,754,1
2015-07-01,braganca,sale,705,1
2015-07-01,castelo-branco,rental,3.6,1
2015-07-01,castelo-branco,sale,715,1
2015-07-01,coimbra,rental,4.6,1
2015-07-01,coimbra,sale,992,1
2015-07-01,evora,rental,5.2,1
2015-07-01,evora,sale,815,1
2015-07-01,faro,rental,5.4,1
2015-07-01,faro,sale,1445,1
2015-07-01,guarda,sale,840,1
2015-07-01,leiria,rental,3.8,1
2015-07-01,leiria,sale,840,1
2015-07-01,lisboa,rental,7,1
2015-07-01,lisboa,sale,1449,1
2015-07-01,madeira,rental,5,1
2015-07-01,madeira,sale,1198,1
2015-07-01,portalegre,sale,659,1
2015-07-01,porto,rental,5.3,1
2015-07-01,porto,sale,998,1
2015-07-01,portugal,rental,5.5,1
2015-07-01,portugal,sale,1121,1
2015-07-01,santarem,rental,3.4,1
2015-07-01,santarem,sale,745,1
2015-07-01,setubal,rental,4.7,1
2015-07-01,setubal,sale,1007,1
2015-07-01,viana-do-castelo,rental,4,1
2015-07-01,viana-do-castelo,sale,932,1
2015-07-01,vila-real,rental,3.7,1
2015-07-01,vila-real,sale,807,1
2015-07-01,viseu,rental,3.5,1
2015-07-01,viseu,sale,736,1
2015-08-01,aveiro,rental,3.9,1
2015-08-01,aveiro,sale,836,1
2015-08-01,azores,sale,931.5,2
2015-08-01,beja,rental,4.1,1
2015-08-01,beja,sale,811,1
2015-08-01,braga,rental,3.5,1
2015-08-01,braga,sale,736,1
2015-08-01,braganca,sale,693,1
2015-08-01,castelo-branco,rental,3.3,1
2015-08-01,castelo-branco,sale,735,1
2015-08-01,coimbra,rental,4.4,1
2015-08-01,coimbra,sale,1110,1
2015-08-01,evora,rental,5.1,1
2015-08-01,evora,sale,842,1
2015-08-01,faro,rental,5.4,1
2015-08-01,faro,sale,1483,1
2015-08-01,guarda,sale,856,1
2015-08-01,leiria,rental,4,1
2015-08-01,leiria,sale,856,1
2015-08-01,lisboa,rental,6.9,1
2015-08-01,lisboa,sale,1476,1
2015-08-01,madeira,rental,5.1,1
2015-08-01,madeira,sale,1259,1
2015-08-01,portalegre,sale,647,1
2015-08-01,porto,rental,5.5,1
2015-08-01,porto,sale,1008,1
2015-08-01,portugal,rental,5.4,1
2015-08-01,portugal,sale,1118,1
2015-08-01,santarem,rental,3.4,1
2015-08-01,santarem,sale,754,1
2015-08-01,setubal,rental,4.7,1
2015-08-01,setubal,sale,1007,1
2015-08-01,viana-do-castelo,rental,3.9,1
2015-08-01,viana-do-castelo,sale,942,1
2015-08-01,vila-real,rental,3.7,1
2015-08-01,vila-real,sale,824,1
2015-08-01,viseu,rental,3.6,1
2015-08-01,viseu,sale,755,1
2015-09-01,aveiro,rental,4,1
2015-09-01,aveiro,sale,833,1
2015-09-01,azores,sale,932,2
2015-09-01,beja,rental,4,1
2015-09-01,beja,sale,809,1
2015-09-01,braga,rental,3.6,1
2015-09-01,braga,sale,728,1
2015-09-01,braganca,sale,696,1
2015-09-01,castelo-branco,rental,3.3,1
2015-09-01,castelo-branco,sale,750,1
2015-09-01,coimbra,rental,4.4,1
2015-09-01,coimbra,sale,1077,1
2015-09-01,evora,rental,4.9,1
2015-09-01,evora,sale,863,1
2015-09-01,faro,rental,5.6,1
2015-09-01,faro,sale,1495,1
2015-09-01,guarda,sale,852,1
2015-09-01,leiria,rental,3.9,1
2015-09-01,leiria,sale,852,1
2015-09-01,lisboa,rental,7,1
2015-09-01,lisboa,sale,1456,1
2015-09-01,madeira,rental,4.8,1
2015-09-01,madeira,sale,1216,1
2015-09-01,portalegre,rental,3.1,1
2015-09-01,portalegre,sale,669,1
2015-09-01,porto,rental,5.3,1
2015-09-01,porto,sale,992,1
2015-09-01,portugal,rental,5.3,1
2015-09-01,portugal,sale,1110,1
2015-09-01,santarem,rental,3.4,1
2015-09-01,santarem,sale,747,1
2015-09-01,setubal,rental,4.7,1
2015-09-01,setubal,sale,989,1
2015-09-01,viana-do-castelo,rental,3.8,1
2015-09-01,viana-do-castelo,sale,943,1
2015-09-01,vila-real,rental,3.7,1
2015-09-01,vila-real,sale,816,1
2015-09-01,viseu,rental,3.6,1
2015-09-01,viseu,sale,725,1
2015-10-01,aveiro,rental,3.9,1
2015-10-01,aveiro,sale,826,1
2015-10-01,azores,sale,915,2
2015-10-01,beja,rental,4.1,1
2015-10-01,beja,sale,806,1
2015-10-01,braga,rental,3.5,1
2015-10-01,braga,sale,736,1
2015-10-01,braganca,sale,684,1
2015-10-01,castelo-branco,rental,3.1,1
2015-10-01,castelo-branco,sale,727,1
2015-10-01,coimbra,rental,4.5,1
2015-10-01,coimbra,sale,1071,1
2015-10-01,evora,rental,5.8,1
2015-10-01,evora,sale,906,1
2015-10-01,faro,rental,5.3,1
2015-10-01,faro,sale,1477,1
2015-10-01,guarda,sale,866,1
2015-10-01,leiria,rental,3.7,1
2015-10-01,leiria,sale,866,1
2015-10-01,lisboa,rental,7.2,1
2015-10-01,lisboa,sale,1478,1
2015-10-01,madeira,rental,5.1,1
2015-10-01,madeira,sale,1209,1
2015-10-01,portalegre,sale,645,1
2015-10-01,porto,rental,5.2,1
2015-10-01,porto,sale,963,1
2015-10-01,portugal,rental,5.4,1
2015-10-01,portugal,sale,1114,1
2015-10-01,santarem,rental,3.4,1
2015-10-01,santarem,sale,756,1
2015-10-01,setubal,rental,4.7,1
2015-10-01,setubal,sale,996,1
