date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2015-01-01,3.5,766,952.5,735,811,675,741,788,814,4.7,1441,737,3.6,737,5.3,1289,1130,688,4.8,929,4.3,969,3.5,736,4.5,1056,855,792,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-01,3.8,786,932,832,775,687,751,1020,859,4.9,1333,798,3.7,798,6.3,1366,1180,700,4.8,997,5,1068,3.5,695,4.5,974,893,837,728,3.8,3.5,4.4,5.2,3.9,3.3,3.1,NA,NA,NA,NA,NA
2015-03-01,3.8,796,918.5,810,757,701,723,1016,859,4.8,1418,814,3.6,814,6.3,1354,1180,691,4.8,995,5,1078,3.4,674,4.5,994,945,822,737,3.8,3.5,4.6,5.1,3.9,3.3,3.1,3.9,NA,NA,NA,NA
2015-04-01,3.7,788,929,816,760,689,734,989,818,5,1419,848,3.7,848,6.4,1350,1161,671,5.1,1012,5.1,1078,3.5,678,4.6,989,942,813,728,3.6,3.5,4.4,5.1,3.9,3.3,3.4,NA,NA,NA,NA,NA
2015-05-01,3.8,784,954,835,750,694,737,996,821,5,1436,860,3.8,860,6.7,1412,1176,693,5.1,1000,5.2,1103,3.4,707,4.5,990,943,793,714,3.4,3.6,4.5,4.9,3.9,3.5,3.6,NA,2.9,NA,NA,NA
2015-06-01,3.8,795,972,822,750,699,729,966,828,5.4,1409,853,3.7,853,6.7,1407,1176,681,5.1,987,5.3,1099,3.3,736,4.6,980,939,785,738,3.5,3.7,4.4,5,4,3.4,3.5,NA,2.8,NA,NA,NA
2015-07-01,3.9,806,928.5,820,754,705,715,992,815,5.4,1445,840,3.8,840,7,1449,1198,659,5.3,998,5.5,1121,3.4,745,4.7,1007,932,807,736,3.6,3.6,4.6,5,4,3.7,3.5,NA,NA,5.2,NA,NA
2015-08-01,3.9,836,931.5,811,736,693,735,1110,842,5.4,1483,856,4,856,6.9,1476,1259,647,5.5,1008,5.4,1118,3.4,754,4.7,1007,942,824,755,3.5,3.3,4.4,5.1,3.9,3.7,3.6,4.1,NA,5.1,NA,NA
2015-09-01,4,833,932,809,728,696,750,1077,863,5.6,1495,852,3.9,852,7,1456,1216,669,5.3,992,5.3,1110,3.4,747,4.7,989,943,816,725,3.6,3.3,4.4,4.8,3.8,3.7,3.6,4,NA,4.9,3.1,NA
2015-10-01,3.9,826,915,806,736,684,727,1071,906,5.3,1477,866,3.7,866,7.2,1478,1209,645,5.2,963,5.4,1114,3.4,756,4.7,996,943,824,724,3.5,3.1,4.5,5.1,4,3.5,3.7,4.1,NA,5.8,NA,NA
2015-11-01,3.9,825,853,793,740,661,723,1144,880,5.3,1453,862,3.7,862,7.5,1505,1101.5,654,5.2,967,5.5,1124,3.4,742,4.8,971,943,804,739,3.5,3.1,4.6,5,3.9,3.5,3.7,4.2,NA,5.5,3.4,NA
