date,portugal_sale,aveiro_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_sale,guarda_sale,leiria_sale,lisboa_sale,portalegre_sale,porto_sale,santarem_sale,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,faial-ilha_sale,flores-ilha_sale,pico-ilha_sale,santa-maria-ilha_sale,sao-jorge-ilha_sale,sao-miguel-ilha_sale,terceira-ilha_sale,madeira-ilha_sale,porto-santo-ilha_sale,portugal_rental,aveiro_rental,beja_rental,braga_rental,castelo-branco_rental,coimbra_rental,evora_rental,faro_rental,guarda_rental,leiria_rental,lisboa_rental,portalegre_rental,porto_rental,santarem_rental,setubal_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,sao-miguel-ilha_rental,madeira-ilha_rental
2025-03-01,2775,1854,1226,1692,903,941,1507,1492,3543,1751,1751,4211,843,2848,1328,2752,1525,1095,1170,1605,NA,1529,1462,1201,1956,1399,3308,2776,16.6,9.6,9.2,10.2,7.5,11,11.1,15.3,7.2,9.6,20.2,6.5,15.6,8.5,13.8,8.9,8.2,7.5,10.4,15.5
2025-02-01,2742,1835,1238,1684,903,901,1496,1495,3533,1730,1730,4167,828,2789,1315,2714,1486,1063,1155,1509,NA,1482,1404,1129,1890,1371,3260,2788,16.4,9.6,9.4,9.9,7,10.2,11.1,15.8,6.8,9.4,20.1,6.7,15.4,8.4,13.8,8.9,7.6,7.3,10.7,15.7
2025-01-01,2693,1787,1187,1645,907,879,1458,1434,3507,1713,1713,4104,823,2733,1298,2677,1472,1047,1108,1440,NA,1543,1416,1152,1890,1354,3230,2725,16.4,9.6,9.5,9.7,7.3,10.2,10.9,15.2,7.2,9.3,20.1,6.9,15.7,8.2,13.6,9.2,7.8,7.2,10.3,15.6
2024-12-01,2827,1829,1209,1689,917,908,1524,1446,3558,1737,1737,4279,811,2916,1279,2700,1481,1056,1147,1350,NA,1476,1399,1226,1925,1335,3251,2615,16.2,9.6,10.2,9.5,7.3,10.4,10.9,14.3,NA,9.6,20,6.9,15.7,8.2,13.4,8.4,7.5,7.3,9.7,15.2
2024-11-01,2783,1760,1208,1685,922,866,1494,1415,3528,1710,1710,4225,798,2867,1255,2654,1461,1041,1118,1319,NA,1386,1343,1242,1893,1317,3233,2564,16.1,9.6,8.8,9.6,7.1,10.4,10.4,14.3,NA,9.4,19.9,6.9,15.5,8.2,13.4,8.5,7.4,7.2,10.1,15.1
2024-10-01,2733,1729,1165,1643,943,858,1464,1395,3522,1691,1691,4152,776,2789,1237,2629,1479,1039,1097,1318,NA,1381,1339,1205,1864,1316,3200,2484,16.1,9.7,8.6,9.5,7,10.5,10.1,14.5,NA,9.4,19.9,7,15.5,8,13.2,8.5,7.4,7.1,NA,14.4
2024-09-01,2735,1757,1146,1644,907,858,1461,1361,3513,1694,1694,4174,761,2764,1215,2619,1472,1030,1091,1263,NA,1441,1423,1441,1843,1301,3173,2469,16.3,9.5,8.9,9.4,6.7,10.7,10.1,14.6,NA,9.7,20,6.2,15.4,8.1,13.2,8.3,6.8,6.7,NA,13.7
2024-08-01,2722,1732,1130,1626,902,850,1444,1328,3467,1645,1645,4156,750,2743,1189,2596,1443,1029,1085,1250,NA,1417,1433,1417,1834,1307,3127,2343,16.3,9.5,9.3,9.2,6.8,10.6,10.7,14.6,NA,10,19.8,6.1,15.3,8.2,13,8.1,6.4,7,NA,13.7
2024-07-01,2696,1705,1092,1610,891,853,1411,1321,3414,1641,1641,4117,742,2680,1175,2563,1398,1008,1066,1278,NA,1413,1390,1428,1784,1281,3063,2336,16.3,9.6,9.4,9.2,7.1,10.6,10.2,14.4,NA,9.4,19.9,6,15.4,8,12.9,8.1,6.3,7.4,NA,13.6
2024-06-01,2683,1709,1085,1659,880,867,1409,1303,3373,1631,1631,4096,733,2656,1171,2548,1381,983,1121,1276,NA,1458,1418,1249,1767,1224,3107,2247,16.2,9.6,9.2,9.2,7.1,10.3,10,14.1,NA,9.5,19.8,6.5,15.3,8,12.8,8.6,6.2,7.1,NA,14.1
