period,transaction_value_thousands,transaction_count,year,quarter,date,avg_transaction_value,avg_2015_transaction_value,avg_2015_transaction_count,value_index,volume_index
1T2009,2594215,21219,2009,1,2009-01-01,122259.06027616758,120911.01849400789,22627.25,101.11490400043772,93.77630953827796
2T2009,2992266,24229,2009,2,2009-04-01,123499.36027074992,120911.01849400789,22627.25,102.14069967235476,107.07885403661514
3T2009,3315884,27077,2009,3,2009-07-01,122461.27709864461,120911.01849400789,22627.25,101.28214833019007,119.66544763504182
4T2009,3374788,27567,2009,4,2009-10-01,122421.30083070337,120911.01849400789,22627.25,101.24908577853915,121.83097813477113
1T2010,3440120,27213,2010,1,2010-01-01,126414.58126630654,120911.01849400789,22627.25,104.55174626832822,120.26649283496668
2T2010,3455609,27914,2010,2,2010-04-01,123794.83413340976,120911.01849400789,22627.25,102.38507265534678,123.36452728457942
3T2010,3216802,25895,2010,3,2010-07-01,124224.83104846496,120911.01849400789,22627.25,102.74070353201208,114.44165773569479
4T2010,3247936,25965,2010,4,2010-10-01,125089.0044290391,120911.01849400789,22627.25,103.4554220012945,114.75101923565612
1T2011,2558333,20820,2011,1,2011-01-01,122878.62632084535,120911.01849400789,22627.25,101.62731887576892,92.01294898849838
2T2011,2319557,19606,2011,2,2011-04-01,118308.52800163215,120911.01849400789,22627.25,97.84759856893876,86.64773668916904
3T2011,1950085,17534,2011,3,2011-07-01,111217.34915022242,120911.01849400789,22627.25,91.98280730364878,77.49063629031367
4T2011,2107130,18968,2011,4,2011-10-01,111088.67566427667,120911.01849400789,22627.25,91.87638732013659,83.82812758952149
1T2012,1659303,15182,2012,1,2012-01-01,109294.09827427217,120911.01849400789,22627.25,90.39217404300383,67.09608989161299
2T2012,1673516,15867,2012,2,2012-04-01,105471.4816915611,120911.01849400789,22627.25,87.2306618579911,70.12341314123456
3T2012,1527642,15047,2012,3,2012-07-01,101524.68930683857,120911.01849400789,22627.25,83.96644951913123,66.49946414168757
4T2012,1760000,16489,2012,4,2012-10-01,106737.82521681121,120911.01849400789,22627.25,88.27799694872385,72.87231104089096
1T2013,1351974,13167,2013,1,2013-01-01,102678.97015265436,120911.01849400789,22627.25,84.9211026683585,58.190898142726134
2T2013,1667407,16010,2013,2,2013-04-01,104147.84509681449,120911.01849400789,22627.25,86.13594227723411,70.75539449115557
3T2013,1824085,16646,2013,3,2013-07-01,109580.98041571549,120911.01849400789,22627.25,90.6294412044392,73.56616469080423
4T2013,2349202,20235,2013,4,2013-10-01,116095.97232517914,120911.01849400789,22627.25,96.01769447582036,89.42757073882154
1T2014,1825411,15413,2014,1,2014-01-01,118433.20573541816,120911.01849400789,22627.25,97.95071384771063,68.11698284148537
2T2014,2003321,16441,2014,2,2014-04-01,121849.09677026945,120911.01849400789,22627.25,100.77584184464384,72.66017744091748
3T2014,1979674,16970,2014,3,2014-07-01,116657.27754861521,120911.01849400789,22627.25,96.48192447770715,74.99806649062523
4T2014,2490239,21015,2014,4,2014-10-01,118498.16797525577,120911.01849400789,22627.25,98.00444115945339,92.87474173839065
1T2015,2662680,21762,2015,1,2015-01-01,122354.5629997243,120911.01849400789,22627.25,101.19388995618124,96.176070887978
2T2015,2509888,20614,2015,2,2015-04-01,121756.47618123605,120911.01849400789,22627.25,100.69923957118108,91.10254228861218
3T2015,2697752,22928,2015,3,2015-07-01,117661.89811584089,120911.01849400789,22627.25,97.31280042246271,101.32914958733386
